Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value
217028_at,0.7997732569565119,0.5815471721680193,0.2182260847884926,2.1175309077195814e-12,3.8806951497748155e-10
217356_s_at,0.4167660335002502,0.62362480283608,-0.2068587693358298,2.4014297385052925e-06,3.451296902868146e-05
217482_at,0.7788271919020393,0.5620030042706659,0.21682418763137346,2.5987091991633927e-12,4.592987232812633e-10
217937_s_at,0.6539871208097829,0.4234460777991219,0.23054104301066103,5.592618595259329e-17,1.6968315519049873e-13
218405_at,0.34406693967674506,0.5502355560707368,-0.20616861639399175,1.950116511051641e-09,9.338249872973966e-08
218609_s_at,0.4196917581876428,0.6596618139178941,-0.23997005573025132,8.283908842016119e-14,3.453504683885697e-11
219203_at,0.5134879090075372,0.7169822392559273,-0.20349433024839014,3.038779945398865e-10,2.1114108035377636e-08
219408_at,0.4199149896909231,0.6451784055808595,-0.22526341588993637,1.616545337292891e-10,1.2776322793860586e-08
219896_at,0.5786580497713222,0.806262731343897,-0.22760468157257485,8.098319937495008e-13,1.866133108634662e-10
220260_at,0.3494313379004354,0.5653586281397636,-0.21592729023932816,7.627521687384976e-10,4.343710551753448e-08
220261_s_at,0.3366111419746852,0.5502562389749657,-0.21364509700028045,7.825241173093103e-09,2.8952223764070914e-07
220415_at,0.4784979599172404,0.6794038607707206,-0.20090590085348015,4.987829448551849e-10,3.1167085775029986e-08
220615_s_at,0.6112674674422286,0.8133439909446706,-0.20207652350244198,3.9051716817053875e-12,6.366362419491831e-10
220690_s_at,0.3817799524613565,0.6655845674046855,-0.28380461494332904,1.4511697362894434e-13,5.391342367889481e-11
220744_s_at,0.5431206627629459,0.7447106690783184,-0.2015900063153725,1.1397507034374069e-09,5.99087633944438e-08
221449_s_at,0.5045945746407241,0.7523004401197124,-0.24770586547898832,4.743429843080044e-12,7.552563674056281e-10
221531_at,0.41602999755430803,0.6453632291426686,-0.2293332315883606,2.2149723952745927e-10,1.6302734154060826e-08
221772_s_at,0.4910417819065319,0.7412264232417668,-0.2501846413352349,1.805986216697112e-14,1.2052265763477468e-11
221777_at,0.4687216614899217,0.6760210745388453,-0.20729941304892358,1.6420654434491668e-10,1.2921919317448032e-08
221884_at,0.6919840988019543,0.4755279367971065,0.21645616200484785,9.401864191445872e-09,3.3822067836195713e-07
222308_x_at,0.652344929776414,0.44920114264007766,0.20314378713633635,3.1664357920591946e-10,2.1697435120668607e-08
222351_at,0.6944851165837247,0.4814540363869268,0.2130310801967979,1.6651486042481277e-08,5.453741972062643e-07
50221_at,0.7834738459396776,0.5504032573613875,0.2330705885782901,4.68880493099232e-15,4.572673280290778e-12
222425_s_at,0.45394622025898884,0.6833435121618117,-0.22939729190282282,9.098071679226129e-14,3.7358871324629825e-11
222474_s_at,0.40815660665057446,0.6111297874703869,-0.20297318081981247,7.82602228201118e-12,1.0987212207904283e-09
222614_at,0.2973754701137672,0.5488841825109385,-0.2515087123971713,1.341049395440553e-12,2.732788456462497e-10
223156_at,0.5785826952785992,0.7847189895062266,-0.20613629422762747,2.1578383722739468e-10,1.5989962961329317e-08
223219_s_at,0.37927253243077014,0.5946895426108929,-0.21541701018012277,1.0862590054663202e-13,4.267903817664183e-11
223229_at,0.38335487774844473,0.5837838764617564,-0.2004289987133117,1.1150743894943779e-09,5.912384236257909e-08
223708_at,0.40437657763107426,0.6861212991346072,-0.2817447215035329,1.941789169681143e-11,2.310390673721051e-09
223786_at,0.4270378463890948,0.22471929575637425,0.20231855063272056,7.523499798319887e-08,1.8701906895113518e-06
224163_s_at,0.49890265566503805,0.6994802259135018,-0.20057757024846373,3.0080931598711274e-08,8.837062492740284e-07
224368_s_at,0.3998913129902775,0.6067861279687007,-0.20689481497842316,2.2565184999062827e-08,7.005983219748824e-07
224414_s_at,0.5336177745579703,0.3328632646582656,0.20075450989970473,7.319606369937587e-11,6.707141991298682e-09
224509_s_at,0.47025244042933634,0.7234362896987452,-0.25318384926940884,4.637160551928474e-12,7.426664200072427e-10
225239_at,0.9683168028805397,0.7270476694334842,0.24126913344705547,2.74900210700629e-18,1.8766406508741818e-14
227062_at,0.9463716343551332,0.7227876779770808,0.2235839563780524,2.5214917771496698e-18,1.8766406508741818e-14
227123_at,0.46815554632963324,0.6739580342543707,-0.2058024879247375,4.3508765303335846e-11,4.424849533540187e-09
227697_at,0.6664203415218231,0.45783981228386017,0.2085805292379629,3.8064003739733106e-07,7.354348687340252e-06
227944_at,0.4735474991653405,0.7151588412249728,-0.24161134205963225,2.1683365597904862e-17,8.992509672246621e-14
229015_at,0.4548678178919647,0.6945608292047601,-0.23969301131279547,1.2227130672726533e-13,4.702537235419818e-11
229218_at,0.5243774691659321,0.30698216491448954,0.21739530425144254,7.966763496974301e-09,2.9279196154795253e-07
229259_at,0.5929338089162961,0.3873889557825634,0.20554485313373272,6.328043257702637e-09,2.426920129444621e-07
229289_at,0.28921403384012206,0.5081141805701521,-0.21890014673003005,1.360596640453499e-10,1.1214474498526864e-08
229676_at,0.43351790175706817,0.6971659711279795,-0.26364806937091134,1.455796200318944e-14,1.0891150395618971e-11
229917_at,0.45358707670543713,0.6602865284745048,-0.20669945176906762,1.0499428287737258e-11,1.39854945628828e-09
230237_at,0.29573950198407234,0.585542945310482,-0.28980344332640967,1.513377288588251e-13,5.546984822930883e-11
230255_at,0.5888028342293424,0.7928666852243246,-0.20406385099498214,5.610121592011769e-06,7.061202362400063e-05
230392_at,0.7412121343086081,0.4511651216235968,0.2900470126850113,1.6886803011563595e-16,3.5978750632721714e-13
230656_s_at,0.549644995014201,0.7917112570281735,-0.2420662620139724,3.1432111877558655e-14,1.765376285431679e-11
231042_s_at,0.44155982005980826,0.6663856349552059,-0.2248258148953976,5.054120046268736e-09,2.0236118628069976e-07
231577_s_at,0.6272545234015613,0.41238209080954374,0.21487243259201755,1.591646151574625e-10,1.2634385359875725e-08
232311_at,0.5171819393062375,0.29218923334694363,0.22499270595929383,3.2438661255108987e-13,9.552759357408726e-11
232541_at,0.7656043210870292,0.5100841567192018,0.25552016436782743,1.1817885834917473e-14,9.220145701462113e-12
232614_at,0.7769288042951291,0.5502323468048284,0.22669645749030076,6.818082308195491e-13,1.6260084240064645e-10
232795_at,0.8296296578641671,0.6095116491933916,0.22011800867077547,3.807863738140146e-18,2.3106540259005306e-14
232925_at,0.5477381916408036,0.3368835449031078,0.21085464673769583,1.3745814997421257e-09,6.944497636023748e-08
233044_at,0.5736267593300055,0.3674221407372281,0.2062046185927774,2.829800602158842e-09,1.249344383877937e-07
233180_at,0.5222577558467821,0.3117837241042088,0.21047403174257334,4.855379024329839e-10,3.051401779697647e-08
233216_at,0.701739298066261,0.4995240619667844,0.20221523609947661,1.1664403289136502e-09,6.113513021397425e-08
233265_at,0.6848551343407402,0.4846288596674522,0.20022627467328796,1.1292642304368255e-09,5.947204186773997e-08
233700_at,0.6843866517395474,0.471776274126699,0.2126103776128484,5.48152661456523e-10,3.345946184329601e-08
234086_at,0.5779761856441441,0.3551641405757962,0.2228120450683479,8.88321721487716e-12,1.2189425672263476e-09
234163_at,0.8887336103700465,0.6834000009422926,0.20533360942775392,3.3049027730018206e-11,3.5599734742001663e-09
234258_at,0.5769522996070904,0.3584893260111736,0.21846297359591677,2.6361015916785736e-10,1.8769936926511334e-08
234563_at,0.6686226839711978,0.4023016304920248,0.26632105347917306,5.957620625102531e-14,2.7066639578910638e-11
235213_at,0.84987544407054,0.5610882461572391,0.288787197913301,2.6973954420182024e-19,4.910428575831336e-15
235567_at,0.7981628681301699,0.5886960914457007,0.20946677668446922,1.9449000251244737e-10,1.4752336815572621e-08
235743_at,0.706440735073079,0.5013852806417898,0.20505545443128925,1.0053010171977674e-08,3.572056242825092e-07
235852_at,0.601454338171118,0.3987734209530738,0.20268091721804427,1.595612658481221e-08,5.246309097991266e-07
236216_at,0.5804297808198787,0.37825400917209184,0.20217577164778688,3.9869376590588085e-09,1.6532925313149485e-07
236338_at,0.8489437012368405,0.6059951102891002,0.24294859094774024,4.3896533794608363e-14,2.140465535825845e-11
