chembl_id,name,smiles,mw,logp,pred_GRIN1,pred_HSPA8,pred_ITPKB,pred_PGK1,avg_predicted
CHEMBL998,LORATADINE,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,382.89,4.89,-8.121628571428577,-6.938161904761905,-7.04350476190476,-6.21338095238095,-7.0791690476190485
CHEMBL95,TACRINE,Nc1c2c(nc3ccccc13)CCCC2,198.27,2.7,-8.409285714285717,-6.668986086136086,-7.054833333333332,-6.156749999999995,-7.072463783438782
CHEMBL1055,CHLORTHALIDONE,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,338.77,0.92,-8.174078943278944,-6.718832875457878,-7.277666666666665,-6.078237373737375,-7.0622039647852155
CHEMBL648,CYCLIZINE,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,266.39,3.02,-8.543095238095242,-6.625310564622381,-7.171238095238092,-5.9064999999999985,-7.061535974488928
CHEMBL799,CILOSTAZOL,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,369.47,3.46,-8.081000000000001,-7.016368716577537,-7.109999999999997,-6.031801587301588,-7.05979257596978
CHEMBL19019,NALTREXONE,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,341.41,1.53,-8.204914285714288,-6.9198088383838385,-7.082999999999996,-6.011166666666665,-7.054722447691197
CHEMBL25202,TAMIBAROTENE,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,351.45,4.99,-8.061471861471864,-6.730523424369749,-7.308833333333332,-6.096547979797976,-7.04934414974323
CHEMBL21731,MAPROTILINE,CNCCCC12CCC(c3ccccc31)c1ccccc12,277.41,4.21,-8.516690476190478,-6.241347293835195,-7.342333333333336,-6.086749999999995,-7.046780275839751
CHEMBL939,GEFITINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.91,4.28,-7.810545238095236,-7.143378571428571,-6.997238095238094,-6.235416666666665,-7.046644642857142
CHEMBL659,GALANTAMINE,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,287.36,1.85,-8.075914285714287,-7.011700709863609,-7.195999999999998,-5.902,-7.046403748894473
CHEMBL1026,FENOLDOPAM MESYLATE,CS(=O)(=O)O.Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,401.87,2.73,-7.8952285714285715,-7.014740476190476,-7.092666666666666,-6.1560000000000015,-7.039658928571429
CHEMBL848,LENALIDOMIDE,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,259.26,0.03,-7.993750000000005,-6.981487223071046,-7.235999999999995,-5.940638888888889,-7.037969027989983
CHEMBL781,MAZINDOL,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,284.75,2.61,-8.178202020202024,-6.581586580086582,-7.236999999999998,-6.1381461038961005,-7.033733676046176
CHEMBL970,HALAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,352.74,4.09,-7.803738034188037,-6.850000000000005,-7.234099999999995,-6.185083333333333,-7.018230341880342
CHEMBL968,FLURAZEPAM,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,387.89,4.0,-7.816538034188039,-6.8352380952380996,-7.211766666666664,-6.183630952380952,-7.011793437118438
CHEMBL716,QUETIAPINE,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,383.52,2.86,-7.833000000000001,-7.039222727272728,-7.048671428571423,-6.1177499999999965,-7.009661038961037
CHEMBL502,DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,379.5,4.36,-8.03122857142857,-6.951893668865396,-7.072666666666662,-5.9796666666666685,-7.008863893406824
CHEMBL1013,LORACARBEF ANHYDROUS,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,349.77,0.71,-7.913539682539684,-6.781342496392496,-7.123499999999995,-6.205534992784991,-7.0059792929292914
CHEMBL43452,POMALIDOMIDE,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,273.25,-0.33,-7.863464285714287,-6.926938203463204,-7.221999999999996,-5.98451984126984,-6.999230582611832
CHEMBL12713,SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,440.95,4.63,-7.788660256410257,-6.9353948051948064,-7.2259999999999955,-6.04275,-6.998201265401265
CHEMBL564,PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21,284.43,4.24,-8.400285714285712,-6.752964598752499,-7.13733333333333,-5.696857808857808,-6.996860363807337
CHEMBL976,PRAZIQUANTEL,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,312.41,2.53,-7.745142857142859,-7.009527699261523,-7.215833333333329,-6.010166666666666,-6.995167639101094
CHEMBL277100,TEMAFLOXACIN,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,417.39,2.9,-7.755438034188041,-7.277925757575757,-6.786166666666674,-6.156603174603176,-6.994033408258412
CHEMBL741,LAMOTRIGINE,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,256.1,2.01,-8.490076923076927,-6.4556377455877465,-6.748333333333326,-6.251,-6.9862620004995
CHEMBL969,PRAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,324.81,3.93,-7.819538034188038,-6.750500000000004,-7.231099999999994,-6.119583333333333,-6.980180341880342
CHEMBL895,NALBUPHINE,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,357.45,1.71,-8.184914285714289,-6.724858838383837,-7.093999999999995,-5.909999999999999,-6.97844328102453
CHEMBL61593,CYCLOTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,389.89,1.23,-7.698195238095243,-7.00322929292929,-6.805999999999995,-6.404000000000007,-6.977856132756133
CHEMBL15870,INDOPROFEN,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,281.31,3.04,-7.816914285714286,-6.7558488997456285,-7.232999999999993,-6.088880952380951,-6.973661034460215
CHEMBL561,LOMEFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,351.35,1.8,-7.748604700854709,-7.237706709956708,-6.723833333333338,-6.171238095238098,-6.970345709845714
CHEMBL70418,CLOBAZAM,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,300.75,3.37,-7.632257514707522,-6.831653120524847,-7.218499999999997,-6.178345238095235,-6.9651889683319
