protein,degree_centrality,betweenness_centrality,hub_score
COL1A2,0.05303030303030303,0.008167787329371184,0.03059904517983711
RGS4,0.045454545454545456,0.015242170207077289,0.03034835783081137
RAB1A,0.045454545454545456,0.013466682573820636,0.029460614014183047
FGF13,0.05303030303030303,0.0055760738641839,0.029303188447243465
RPA3,0.05303030303030303,0.0038323115484412053,0.02843130728937212
ATP2B3,0.05303030303030303,0.002764472168822479,0.027897387599562756
PPEF1,0.030303030303030304,0.02493903297117923,0.02762103163710477
PPP2R2D,0.030303030303030304,0.024259131617645435,0.02728108096033787
CALY,0.03787878787878788,0.015151515151515152,0.026515151515151516
RASGRF1,0.045454545454545456,0.007443609661622438,0.02644907755808395
FLCN,0.045454545454545456,0.007337909811401873,0.026396227632973664
CDK7,0.045454545454545456,0.005269986821695574,0.025362266138120516
ARPC1A,0.03787878787878788,0.012664258310968289,0.025271523094878085
NDUFA7,0.045454545454545456,0.0035718459225419267,0.024513195688543692
SLIT3,0.045454545454545456,0.001639908992031056,0.023547227223288256
ERCC1,0.045454545454545456,0.0015968359437775342,0.023525690699161494
DGUOK,0.030303030303030304,0.015151515151515152,0.022727272727272728
NDRG3,0.015151515151515152,0.030071709461022438,0.022611612306268795
NRXN3,0.03787878787878788,0.007174540246200753,0.022526664062494317
GBP1,0.03787878787878788,0.006327832449270788,0.022103310164029333
SOCS3,0.03787878787878788,0.003795926408261593,0.020837357143524738
UBE2T,0.03787878787878788,0.003164429934873847,0.020521608906830864
SNRPA1,0.030303030303030304,0.009059877569797148,0.019681453936413726
PCMT1,0.03787878787878788,0.0009215565643393542,0.01940017222156362
IDH3G,0.03787878787878788,0.000762399637906413,0.019320593758347146
AGAP2,0.022727272727272728,0.015889612850167916,0.01930844278872032
EXOSC1,0.022727272727272728,0.015761414810412214,0.019244343768842473
MRPS23,0.022727272727272728,0.014731245570940223,0.018729259149106475
DMAP1,0.030303030303030304,0.006997053791814375,0.01865004204742234
GPER1,0.030303030303030304,0.005571684345870981,0.01793735732445064
PDLIM5,0.030303030303030304,0.004419341575294344,0.017361185939162325
HSPB3,0.030303030303030304,0.004290574892799981,0.01729680259791514
PTPRF,0.030303030303030304,0.003287767052207596,0.01679539867761895
ITFG1,0.030303030303030304,0.002671363337156464,0.016487196820093385
FARSA,0.030303030303030304,0.002148150072385693,0.016225590187708
TFEB,0.030303030303030304,0.002078177511628655,0.01619060390732948
MYO10,0.030303030303030304,0.0013085668887305713,0.015805798595880438
ADCYAP1,0.030303030303030304,0.0006727419493590644,0.015487886126194684
SRGAP1,0.030303030303030304,0.000459277177628437,0.01538115374032937
RRAGB,0.030303030303030304,0.00020112731562042617,0.015252078809325364
MICALL2,0.015151515151515152,0.015151515151515152,0.015151515151515152
HDAC7,0.015151515151515152,0.015151515151515152,0.015151515151515152
NSDHL,0.015151515151515152,0.015151515151515152,0.015151515151515152
SDR16C5,0.015151515151515152,0.015151515151515152,0.015151515151515152
ZDHHC21,0.015151515151515152,0.015151515151515152,0.015151515151515152
ICA1,0.015151515151515152,0.015151515151515152,0.015151515151515152
DZIP3,0.022727272727272728,0.004461011782316434,0.013594142254794581
PTPN3,0.022727272727272728,0.0016962594992557844,0.012211766113264256
FPGT-TNNI3K,0.022727272727272728,0.0016315324037698203,0.012179402565521275
STAR,0.022727272727272728,0.0015254908558170182,0.012126381791544873
RRBP1,0.022727272727272728,0.0013982389270357097,0.012062755827154218
CADPS,0.022727272727272728,0.0008317299318792846,0.011779501329576007
MUC1,0.022727272727272728,0.0005771267906481026,0.011652199758960416
NVL,0.022727272727272728,0.0005543876857200938,0.011640830206496412
CAMK1G,0.022727272727272728,0.0004860466787947704,0.01160665970303375
BRD8,0.022727272727272728,0.0,0.011363636363636364
SLF2,0.015151515151515152,0.002163988952677363,0.008657752052096257
PPP2R1B,0.015151515151515152,0.0012768620332811865,0.00821418859239817
ITPKB,0.015151515151515152,0.0012167355499608321,0.008184125350737991
CRB2,0.015151515151515152,0.0006490884930785383,0.007900301822296845
