Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value,probe_id,gene_symbol,gene_title
213710_s_at,0.5876456861897135,0.8172774127309765,-0.229631726541263,3.958987937453373e-15,4.289685876127287e-12,213710_s_at,CALM1,"calmodulin 1 (phosphorylase kinase, delta)"
213787_s_at,0.4049010471028038,0.6181115716895771,-0.2132105245867732,5.126835741161978e-11,5.026784207039122e-09,213787_s_at,EBP,emopamil binding protein (sterol isomerase)
213789_at,0.3661529773012865,0.5780848119935124,-0.2119318346922258,5.581358532177073e-09,2.1881890417644402e-07,213789_at,EBP,emopamil binding protein (sterol isomerase)
213921_at,0.5154533785485996,0.830373701216358,-0.3149203226677584,5.460805250822862e-17,1.6968315519049873e-13,213921_at,SST,somatostatin
214250_at,0.7684955714455441,0.5508812876315604,0.2176142838139837,2.0603458802632272e-10,1.5435071270070733e-08,214250_at,NUMA1,nuclear mitotic apparatus protein 1
214333_x_at,0.5411453449573791,0.7493532688603689,-0.2082079239029898,1.0003510057343572e-14,8.404949150180069e-12,214333_x_at,IDH3G,isocitrate dehydrogenase 3 (NAD+) gamma
214432_at,0.4999665732729563,0.723112347608473,-0.2231457743355167,6.938687737612299e-14,2.9604886985485976e-11,214432_at,ATP1A3 /// LOC101927137,"ATPase, Na+/K+ transporting, alpha 3 polypeptide /// uncharacterized LOC101927137"
214808_at,0.5582297302316099,0.3438804930266556,0.2143492372049543,1.6602756987355014e-10,1.299034910244154e-08,214808_at,RP11-395B7.7,
215020_at,0.2671223220530436,0.5409619026625458,-0.2738395806095022,3.4610891340932025e-13,9.991853682431919e-11,215020_at,NRXN3,neurexin 3
215021_s_at,0.5503536146165358,0.8077379055168359,-0.2573842909003001,8.333944393656052e-13,1.8964622995380907e-10,215021_s_at,NRXN3,neurexin 3
215066_at,0.6342424506248643,0.4338412861247867,0.2004011645000776,4.4712617473925867e-10,2.846264364386858e-08,215066_at,PTPRF,"protein tyrosine phosphatase, receptor type, F"
215161_at,0.4981876393401589,0.7645973339995652,-0.2664096946594062,5.931446055311351e-11,5.653299536103295e-09,215161_at,CAMK1G,calcium/calmodulin-dependent protein kinase IG
